id,start,end,text
0,30.0,34.0,You will be asked to demonstrate how well you understand spoken English.
1,34.0,38.0,The entire listening test will last approximately 45 minutes.
2,38.0,42.0,"There are four parts, and directions are given for each part."
3,42.0,45.0,You must mark your answers on the separate answer sheet.
4,45.0,48.0,Do not write your answers in the test book.
5,48.0,50.0,Part 1
6,50.0,52.0,Directions
7,52.0,57.0,"For each question in this part, you will hear four statements about a picture in your test book."
8,57.0,63.0,"When you hear the statements, you must select the one statement that best describes what you see in the picture."
9,63.0,67.0,Then find the number of the question on your answer sheet and mark your answer.
10,67.0,72.0,"The statements will not be printed in your test book, and will be spoken only one time."
11,72.0,75.0,Look at the example item below.
12,75.0,78.0,Now listen to the four statements.
13,78.0,79.0,A
14,79.0,81.0,He is looking at a monitor.
15,81.0,83.0,B
16,83.0,85.0,He is sitting at a desk.
17,85.0,86.0,C
18,86.0,89.0,He is writing on a blackboard.
19,89.0,90.0,D
20,90.0,93.0,He is repairing a computer.
21,93.0,95.0,Statement B
22,95.0,97.0,He is sitting at a desk.
23,97.0,103.0,"Is the best description of the picture, so you should select answer B and mark it on your answer sheet."
24,103.0,105.0,Now part 1 will begin.
25,105.0,107.0,Number 1
26,107.0,111.0,Look at the picture marked number 1 in your test book.
27,111.0,112.0,A
28,112.0,115.0,He is typing on a keyboard.
29,115.0,116.0,B
30,116.0,119.0,He is staring at the monitor.
31,119.0,120.0,C
32,120.0,123.0,He is turning on the computer.
33,123.0,124.0,D
34,124.0,131.0,He is plugging in a laptop.
35,131.0,133.0,Number 2
36,133.0,137.0,Look at the picture marked number 2 in your test book.
37,137.0,138.0,A
38,138.0,141.0,A woman is filling the bowl with water.
39,141.0,142.0,B
40,142.0,146.0,A woman is pouring something into the pan.
41,146.0,147.0,C
42,147.0,151.0,A woman is stirring vegetables while cooking.
43,151.0,152.0,D
44,152.0,160.0,A woman is watering some potted plants.
45,160.0,170.0,Go on to the next page.
46,170.0,171.0,Number 3
47,171.0,175.0,Look at the picture marked number 3 in your test book.
48,175.0,176.0,A
